FullPathName,ID,CredentialNumber,VersionID,VersionName,CompanyName,CompanyAddress,CertificationName,CertificationAddress,CredentialState,EffectiveCredentialTime,MaturityCredentialTime,AffirmAddress,Range,Expression,Contents,CreateCredentialTime,UpdateCredentialTime,UpdateStateTime,CreateBy,IsIssued,CertidficationName,OwnerRole,UserID,IsCanPause,IsCanCancel,IsCanLogout,IsCanRecovery,OtherCredentialState,RankNumber,CredentialStateName,IsIssuedName
/广东省/深圳市,37413cd9-e48e-4a83-8c6d-24f7441b6a11,CSAIII-00318IIIMS0039201,1,《信息化和工业化融合管理体系要求（试行）》（工业和信息化部公告 2014年第3号）,立讯精密工业股份有限公司,广东省深圳市宝安区沙井街道蚝一西部三洋新工业区A栋2层,工业和信息化部电子第五研究所 广州赛宝认证中心服务有限公司,广东省广州市天河区东莞庄路110号,1,2018-04-14,2021-04-14,,连接器（线）快速交付能力,,,2018-04-16,2018-04-16,,{466c6362-fbf5-4f32-99d9-7a1929545529},1,工业和信息化部电子第五研究所 广州赛宝认证中心服务有限公司,CSAIII-003,{ee4e9a6c-62d2-4830-9cfe-7cc35e2fa051},0,0,0,0,,1926,有效,是
/广东省/深圳市,3d37672b-23ba-452c-a8d1-921d3bd18f2e,CSAIII-00418IIIMS0039701,2,《信息化和工业化融合管理体系 要求》（GB/T 23001-2017）,丽晶维珍妮内衣（深圳）有限公司,深圳市光明新区玉塘街道玉律社区层摇工业区5号,中国电子技术标准化研究院,北京市东城区安定门东大街1号,1,2018-08-30,2021-08-30,,产品质量综合管理能力建设相关的两化融合管理能力,,,2018-08-30,2018-08-30,,{466c6362-fbf5-4f32-99d9-7a1929545529},1,中国电子技术标准化研究院,CSAIII-004,{97db731d-3256-446b-97e2-2c3ef59ad251},0,0,0,0,,1927,有效,是
/福建省/福州市,eb45779b-ea92-465c-ae55-7ff123fc250d,CSAIII-01018IIIMS0025601,1,《信息化和工业化融合管理体系要求（试行）》（工业和信息化部公告 2014年第3号）,丽珠集团福州福兴医药有限公司,福建省福州市福清江阴工业集中区,江苏鸿信系统集成有限公司,江苏省南京市鼓楼区汉中路268号,1,2018-05-18,2021-05-18,,发酵过程全流程自动化管控能力,,,2018-05-18,2018-05-18,,{466c6362-fbf5-4f32-99d9-7a1929545529},1,江苏鸿信系统集成有限公司,CSAIII-010,{c864dc7d-0110-404e-b5a5-6038a1866fd9},0,0,0,0,,1928,有效,是
/广东省/深圳市,ee90320e-20d4-46db-a21e-086a58c23d84,CSAIII-00417IIIMS0013501,1,《信息化和工业化融合管理体系要求（试行）》（工业和信息化部公告 2014年第3号）,利宾来塑胶工业（深圳）有限公司,广东省深圳市龙华清湖第二工业区,中国电子技术标准化研究院,北京市东城区安定门东大街1号,1,2017-09-02,2020-09-02,,产品研发和生产协同管理能力,,,2017-09-04,2017-09-04,2017-09-04,{466c6362-fbf5-4f32-99d9-7a1929545529},1,中国电子技术标准化研究院,CSAIII-004,{74c428d8-51cc-4303-82b6-7f601959e029},0,0,0,0,,1929,有效,是
/山东省/东营市,b2a128a1-d787-4935-a80e-7f25455fb75b,CSAIII-00418IIIMS0056701,2,《信息化和工业化融合管理体系 要求》（GB/T 23001-2017）,利华益利津炼化有限公司,山东省东营市利津县永莘路55号,中国电子技术标准化研究院,北京市东城区安定门东大街1号,1,2018-12-20,2021-12-20,,购销一体化管控能力,,,2018-12-20,2018-12-20,,{466c6362-fbf5-4f32-99d9-7a1929545529},1,中国电子技术标准化研究院,CSAIII-004,{b95bf915-fba2-43df-9197-6423daab8d54},0,0,0,0,,1930,有效,是
/福建省/泉州市,f27ce663-24c4-48cc-a68b-9daea84d9746,CSAIII-00418IIIMS0030901,2,《信息化和工业化融合管理体系 要求》（GB/T 23001-2017）,利郎（中国）有限公司,福建省晋江市长兴路200号,中国电子技术标准化研究院,北京市东城区安定门东大街1号,1,2018-06-15,2021-06-15,,商务男装生产经营过程内外部供应链协同管控能力,,,2018-06-15,2018-06-15,,{466c6362-fbf5-4f32-99d9-7a1929545529},1,中国电子技术标准化研究院,CSAIII-004,{180986a2-db95-4ddf-9be5-edeec59760a3},0,0,0,0,,1931,有效,是
/江苏省/徐州市,8decd261-4a67-4f6a-b0b7-17d08ea8c998,CSAIII-00818IIIMS0006301,2,《信息化和工业化融合管理体系 要求》（GB/T 23001-2017）,利民化工股份有限公司,江苏省新沂市经济开发区,中国电力企业联合会科技开发服务中心,西城区广安门外大街168号朗琴国际A座五层,1,2018-01-18,2021-01-18,,基于代森锰锌数字化生产线的生产过程精细化管控能力,,,2018-01-18,2018-01-18,2018-01-18,{466c6362-fbf5-4f32-99d9-7a1929545529},1,中国电力企业联合会科技开发服务中心,CSAIII-008,{c92d7b7e-525f-4e99-8497-c57690181a08},0,0,0,0,,1932,有效,是
/浙江省/台州市,3b172698-a5f1-445a-acff-7a9861386b43,CSAIII-00318IIIMS0037601,1,《信息化和工业化融合管理体系要求（试行）》（工业和信息化部公告 2014年第3号）,利欧集团浙江泵业有限公司,浙江省温岭市东部产业集聚区第三街1号,工业和信息化部电子第五研究所 广州赛宝认证中心服务有限公司,广东省广州市天河区东莞庄路110号,1,2018-03-31,2021-03-31,,基于顾客订单的产供销协同管控能力，泵业生产全过程自动化管控能力,,,2018-04-02,2018-04-02,,{466c6362-fbf5-4f32-99d9-7a1929545529},1,工业和信息化部电子第五研究所 广州赛宝认证中心服务有限公司,CSAIII-003,{386136a6-1861-4486-b332-311682ee6894},0,0,0,0,,1933,有效,是
/安徽省/亳州市,007e9a6b-34c4-4041-ad51-fe879cfa25e7,CSAIII-01018IIIMS0038101,2,《信息化和工业化融合管理体系 要求》（GB/T 23001-2017）,利辛县富亚纱网有限公司,安徽省亳州市利辛县经开区永兴西路8号,江苏鸿信系统集成有限公司,江苏省南京市鼓楼区汉中路268号,1,2018-11-26,2021-11-26,,成本精细化管控能力,,,2018-11-27,2018-11-27,,{466c6362-fbf5-4f32-99d9-7a1929545529},1,江苏鸿信系统集成有限公司,CSAIII-010,{e669bc69-5c37-433a-868b-6c37a605beac},0,0,0,0,,1934,有效,是
/江苏省/常州市,1ebd1340-00e0-4942-be4d-fc368a090a27,CSAIII-01018IIIMS0034201,2,《信息化和工业化融合管理体系 要求》（GB/T 23001-2017）,溧阳市中纺联针织有限公司,溧阳市金梧路35号,江苏鸿信系统集成有限公司,江苏省南京市鼓楼区汉中路268号,1,2018-11-01,2021-11-01,,生产过程精细化管控能力,,,2018-11-01,2018-11-01,,{466c6362-fbf5-4f32-99d9-7a1929545529},1,江苏鸿信系统集成有限公司,CSAIII-010,{04b58ba3-0bad-40b6-8cc2-cde4e66ee7d4},0,0,0,0,,1935,有效,是
/江苏省/常州市,2ec8cc3d-9797-4425-b9cc-a244fdb04c33,CSAIII-00418IIIMS0028301,2,《信息化和工业化融合管理体系 要求》（GB/T 23001-2017）,溧阳欣大精密电子有限公司,江苏省溧阳市昆仑经济开发区腾飞路8号,中国电子技术标准化研究院,北京市东城区安定门东大街1号,1,2018-05-18,2021-05-18,,产供销全过程质量管控能力,,,2018-05-18,2018-05-18,,{466c6362-fbf5-4f32-99d9-7a1929545529},1,中国电子技术标准化研究院,CSAIII-004,{89968439-be90-42a9-b5e0-7d081464f62c},0,0,0,0,,1936,有效,是
