欢迎使用！
-------------------------------
经信委网站新公告:
序号：42  标题:关于开展2018年度重庆市重点实验室评审工作现场考察的通知... 2018-09-10  网址:http://www.cstc.gov.cn/View.aspx?id=25613
序号：43  标题:重庆市科学技术委员会关于下达2018年重庆市第六批科技计划项... 2018-09-10  网址:http://www.cstc.gov.cn/View.aspx?id=25611
序号：44  标题:重庆市科学技术委员会关于下达2018年重庆市第五批科技计划项... 2018-09-10  网址:http://www.cstc.gov.cn/View.aspx?id=25610
序号：45  标题:重庆市科学技术委员会关于下达2018年重庆市第四批科技计划项... 2018-09-10  网址:http://www.cstc.gov.cn/View.aspx?id=25609
序号：46  标题:重庆市科学技术委员会关于下达2018年重庆市第三批科技计划项... 2018-09-10  网址:http://www.cstc.gov.cn/View.aspx?id=25608
序号：47  标题:关于第三批市级“星创天地”拟备案及国家级“星创天地”拟推... 2018-09-07  网址:http://www.cstc.gov.cn/View.aspx?id=25607
序号：48  标题:2018年度重庆市重点实验室评审专家名单公告 2018-09-07  网址:http://www.cstc.gov.cn/View.aspx?id=25606
序号：49  标题:关于开展2018年实验动物年度检查的通知 2018-09-07  网址:http://www.cstc.gov.cn/View.aspx?id=25604
序号：50  标题:关于领取2017年度重庆市科学技术奖证书和奖金的通知 2018-09-07  网址:http://www.cstc.gov.cn/View.aspx?id=25603
序号：51  标题:关于开展第九批重庆市“百名海外高层次人才集聚计划”人选申... 2018-09-06  网址:http://www.cstc.gov.cn/View.aspx?id=25595
序号：52  标题:关于2017年度双高（高企）企业培育创新券第二批拟兑现企业名... 2018-09-06  网址:http://www.cstc.gov.cn/View.aspx?id=25594
序号：53  标题:关于举办2018年重庆市实验动物从业人员专业技能及继续教育培... 2018-09-05  网址:http://www.cstc.gov.cn/View.aspx?id=25593
序号：54  标题:重庆市科学技术委员会关于协助征集科技精准扶贫先进实用技术... 2018-09-04  网址:http://www.cstc.gov.cn/View.aspx?id=25589
序号：55  标题:2018年8月全市科技型企业培育情况通报 2018-09-04  网址:http://www.cstc.gov.cn/View.aspx?id=25588
序号：56  标题:关于2018年科技部“创新人才推进计划”推荐对象名单的公示... 2018-09-03  网址:http://www.cstc.gov.cn/View.aspx?id=25587
序号：57  标题:重庆市科学技术委员会关于召开2018年度重庆市重点实验室评审... 2018-08-31  网址:http://www.cstc.gov.cn/View.aspx?id=25581
序号：58  标题:2018年度重庆市科学技术奖推荐成果形式审查合格项目的公示... 2018-08-31  网址:http://www.cstc.gov.cn/View.aspx?id=25580
序号：59  标题:关于2018年科技传播与普及项目评审情况的公示 2018-08-28  网址:http://www.cstc.gov.cn/View.aspx?id=25575
序号：60  标题:重庆市科学技术委员会关于落实2018年入库国家科技型中小企业... 2018-08-28  网址:http://www.cstc.gov.cn/View.aspx?id=25574
序号：61  标题:重庆市科学技术委员会2017年部门决算情况说明 2018-08-27  网址:http://www.cstc.gov.cn/View.aspx?id=25573
序号：62  标题:科技创新政策清单 2018-08-24  网址:http://www.cstc.gov.cn/View.aspx?id=25569
序号：63  标题:关于转发《关于组织中国创新创业大赛优秀企业申报2018年创新... 2018-08-22  网址:http://www.cstc.gov.cn/View.aspx?id=25567
序号：64  标题:关于开展2018年度第二批高新技术企业认定申报工作的通知 2018-08-22  网址:http://www.cstc.gov.cn/View.aspx?id=25566
序号：65  标题:重庆市科学技术委员会关于开展第三批市级“星创天地”备案工... 2018-08-21  网址:http://www.cstc.gov.cn/View.aspx?id=25565
序号：66  标题:关于2018年重庆市基础研究与前沿探索专项项目联合实施试点项... 2018-08-21  网址:http://www.cstc.gov.cn/View.aspx?id=25564
序号：67  标题:关于组织申报2018年度重庆市科普基地的通知 2018-08-20  网址:http://www.cstc.gov.cn/View.aspx?id=25557
序号：68  标题:关于举办首届重庆市创新方法大赛的通知 2018-08-20  网址:http://www.cstc.gov.cn/View.aspx?id=25548
序号：69  标题:重庆市科学技术委员会关于举办2018年第一期重庆市创新工程师... 2018-08-20  网址:http://www.cstc.gov.cn/View.aspx?id=25547
序号：70  标题:关于公示第七届中国创新创业大赛（重庆赛区）暨第四届重庆“... 2018-08-17  网址:http://www.cstc.gov.cn/View.aspx?id=25546
序号：71  标题:关于2018年国家“万人计划”青年拔尖人才推荐人选名单的公示... 2018-08-17  网址:http://www.cstc.gov.cn/View.aspx?id=25544
序号：72  标题:重庆市科学技术委员会关于开展科技创新政策落实情况调查的通... 2018-08-15  网址:http://www.cstc.gov.cn/View.aspx?id=25543
序号：73  标题:重庆市科学技术委员会关于举办中国创新创业大赛第三届国际新... 2018-08-09  网址:http://www.cstc.gov.cn/View.aspx?id=25493
序号：74  标题:关于组织开展科技部2018年创新人才推进计划暨国家“万人计划... 2018-08-06  网址:http://www.cstc.gov.cn/View.aspx?id=25485
序号：75  标题:重庆市科学技术委员会关于召开国家野外科学观测研究站答辩评... 2018-08-06  网址:http://www.cstc.gov.cn/View.aspx?id=25484
序号：76  标题:重庆市科学技术委员会关于召开国家技术创新中心答辩评审会的... 2018-08-06  网址:http://www.cstc.gov.cn/View.aspx?id=25483
序号：77  标题:关于召开国家重点研发计划“智能机器人”等7个重点专项2018年... 2018-08-06  网址:http://www.cstc.gov.cn/View.aspx?id=25482
序号：78  标题:2018年重庆市新型研发机构和新型高端研发机构候选名单公示... 2018-08-02  网址:http://www.cstc.gov.cn/View.aspx?id=25481
序号：79  标题:关于开展2016-2017年度重庆市科技企业孵化器绩效评估工作的通... 2018-08-02  网址:http://www.cstc.gov.cn/View.aspx?id=25480
序号：80  标题:2018年7月全市科技型企业培育情况通报 2018-08-01  网址:http://www.cstc.gov.cn/View.aspx?id=25475
序号：81  标题:关于2018年在渝院士牵头科技创新引导专项项目立项名单的公示... 2018-07-31  网址:http://www.cstc.gov.cn/View.aspx?id=25472
序号：82  标题:关于开展2018年国家“万人计划”青年拔尖人才申报推荐工作的... 2018-07-31  网址:http://www.cstc.gov.cn/View.aspx?id=25471
序号：83  标题:关于国家重点研发计划“蓝色粮仓科技创新”等重点专项2018年... 2018-07-31  网址:http://www.cstc.gov.cn/View.aspx?id=25470
序号：84  标题:2018年科研机构绩效激励引导专项（研发投入激励资金）拟激励... 2018-07-30  网址:http://www.cstc.gov.cn/View.aspx?id=25462
序号：85  标题:关于开展重庆市重点实验室现场考察的通知 2018-07-27  网址:http://www.cstc.gov.cn/View.aspx?id=25458
